CustomerID,Email,LCLid
BAN001000,mstephenson@fernandez.com,MAC000131
BAN001001,hduke@hotmail.com,MAC000132
BAN001002,pallen@yahoo.com,MAC000221
BAN001003,riverarebecca@gmail.com,MAC000228
BAN001004,mstephens@davidson-herman.com,MAC000234
BAN001005,alvareznancy@lucas.biz,MAC000235
BAN001006,katherine20@yahoo.com,MAC003451
BAN001007,awatkins@yahoo.com,MAC003506
BAN001008,vchurch@walter-martinez.com,MAC004356
BAN001009,bonnie69@lin.biz,MAC004538
BAN001010,andrew06@peterson.com,MAC004548
BAN001011,ryanwerner@freeman.biz,MAC004549
BAN001012,knelson@gmail.com,MAC004552
BAN001013,wrightpeter@yahoo.com,MAC004553
BAN001014,taylormason@gmail.com,MAC004555
BAN001015,jstark@anderson.com,MAC004556
BAN001016,wjennings@gmail.com,MAC004560
BAN001017,rebecca45@hale-bauer.biz,MAC004562
BAN001018,alejandro75@hotmail.com,MAC004564
BAN001019,samuel46@love-west.net,MAC004565
BAN001020,megan33@gmail.com,MAC004571
BAN001021,agolden@yahoo.com,MAC004574
BAN001022,vstafford@hotmail.com,MAC004579
BAN001023,denise22@hernandez-townsend.com,MAC004581
BAN001024,youngbarbara@yahoo.com,MAC004582
BAN001025,william25@mcconnell.com,MAC004584
BAN001026,ijones@schaefer-carr.net,MAC004586
BAN001027,heatherhall@yahoo.com,MAC004595
BAN001028,tinasmith@martinez.info,MAC004601
BAN001029,chasejennifer@hotmail.com,MAC004613
BAN001030,jenniferbarnett@gmail.com,MAC004629
BAN001031,jared39@hotmail.com,MAC004634
BAN001032,briancarlson@page-fleming.com,MAC004638
BAN001033,joshuaodom@gmail.com,MAC004656
BAN001034,vickie90@lee-wilson.com,MAC004665
BAN001035,duane56@hotmail.com,MAC004671
BAN001036,enash@gmail.com,MAC004679
BAN001037,sandraharrison@bailey-gordon.net,MAC004682
BAN001038,cunninghamwilliam@hotmail.com,MAC004690
BAN001039,teresaallen@hill-leach.info,MAC004694
BAN001040,rhonda96@little.org,MAC004695
BAN001041,lisacabrera@yahoo.com,MAC004699
BAN001042,jasonrichardson@elliott.com,MAC004701
BAN001043,hoovernicole@dorsey.net,MAC004702
BAN001044,christopher20@gmail.com,MAC004705
BAN001045,brianwilson@yahoo.com,MAC004706
BAN001046,gonzaleskatie@gmail.com,MAC004707
BAN001047,lsmith@chung.com,MAC004727
BAN001048,dongarcia@hotmail.com,MAC004730
BAN001049,kimberly46@garcia-nelson.biz,MAC004736
BAN001050,william82@gmail.com,MAC000011
BAN001051,brenda82@maldonado-gonzalez.net,MAC000046
BAN001052,josephgould@west.info,MAC000067
BAN001053,wbrady@yahoo.com,MAC000100
BAN001054,smithtracey@mcgee.com,MAC000107
BAN001055,amberchase@fowler.info,MAC000410
BAN001056,gregoryholmes@hotmail.com,MAC000433
BAN001057,jeffreydawson@gmail.com,MAC000860
BAN001058,rjohns@gmail.com,MAC000913
BAN001059,john85@martin-morgan.com,MAC001119
BAN001060,vcoleman@yahoo.com,MAC001205
BAN001061,floresarthur@yahoo.com,MAC001244
BAN001062,ryan36@gmail.com,MAC001340
BAN001063,chris67@ryan.biz,MAC001409
BAN001064,katie25@gmail.com,MAC001480
BAN001065,kyang@diaz.org,MAC001484
BAN001066,tadams@contreras.info,MAC001485
BAN001067,craigcastro@burgess.com,MAC001524
BAN001068,ellen24@anthony.com,MAC001551
BAN001069,davisrobert@hicks-smith.com,MAC001607
BAN001070,walkerlaura@peterson-yates.com,MAC001675
BAN001071,marc54@hotmail.com,MAC001816
BAN001072,gregoryrussell@yahoo.com,MAC001932
BAN001073,williamsjohnny@ferguson.info,MAC002076
BAN001074,haydenrebecca@gmail.com,MAC002147
BAN001075,langmatthew@hotmail.com,MAC002242
BAN001076,david43@richards.com,MAC002369
BAN001077,paulkemp@yahoo.com,MAC002739
BAN001078,fbryant@gmail.com,MAC003026
BAN001079,kimberlyfrederick@gmail.com,MAC003086
BAN001080,sharon82@saunders.info,MAC003112
BAN001081,fishermichael@ramos.com,MAC003177
BAN001082,ilawson@hotmail.com,MAC003205
BAN001083,shafferdaniel@murphy-harris.info,MAC003209
BAN001084,stevenanderson@yahoo.com,MAC003215
BAN001085,richard16@boyer-pratt.com,MAC003217
BAN001086,hyoung@jones.info,MAC003437
BAN001087,erik46@hotmail.com,MAC003549
BAN001088,rojasmichael@wagner-thomas.com,MAC003704
BAN001089,lance88@briggs.com,MAC004057
BAN001090,anthony09@hotmail.com,MAC004265
BAN001091,audreyjohnson@rosales.com,MAC004286
BAN001092,beth76@yahoo.com,MAC004309
BAN001093,larrywest@davis.com,MAC004359
BAN001094,raylopez@hotmail.com,MAC004952
BAN001095,middletonrenee@gmail.com,MAC005046
BAN001096,grichardson@ryan.info,MAC005054
BAN001097,esmith@gmail.com,MAC005085
BAN001098,michael53@munoz.com,MAC005096
BAN001099,jacqueline46@mcdonald-smith.biz,MAC005125
BAN001100,briannasantana@gmail.com,MAC000010
BAN001101,mark52@yahoo.com,MAC000043
BAN001102,acampbell@sanchez-velasquez.info,MAC000089
BAN001103,qgarcia@williams.com,MAC000091
BAN001104,jenniferking@hess.net,MAC000119
BAN001105,taylor91@hotmail.com,MAC000946
BAN001106,afry@ford.biz,MAC000965
BAN001107,amandadean@gmail.com,MAC001016
BAN001108,brenda68@hotmail.com,MAC001118
BAN001109,bakerdrew@gmail.com,MAC001297
BAN001110,connorlambert@yahoo.com,MAC001951
BAN001111,tknapp@yahoo.com,MAC002188
BAN001112,garcialisa@yahoo.com,MAC002246
BAN001113,josephallen@hotmail.com,MAC002300
BAN001114,hailey18@yahoo.com,MAC003372
